Unnamed: 0,neighbourhood_group_cleansed,property_type,room_type,bedrooms,price,minimum_nights_avg_ntm,instant_bookable,property_type_group,review_score,review_score_porcent,occupancy_rate,bedroom_occupancy_percent,min_nights_percent_year
0,Centro,Private room in rental unit,Private room,1.0,69.0,1.0,False,Room,4,0.74,0.43,0.88,0.0
1,Centro,Entire rental unit,Entire home/apt,1.0,80.0,28.0,False,Floor,4,0.62,0.84,0.43,0.08
2,Centro,Entire rental unit,Entire home/apt,1.0,64.0,30.0,False,House,5,0.85,0.43,0.35,0.08
3,Centro,Entire rental unit,Entire home/apt,1.0,80.0,7.0,False,Floor,5,0.85,0.89,0.97,0.02
4,Centro,Private room in rental unit,Private room,3.0,40.0,1.0,True,Room,1,0.04,0.57,0.86,0.0
5,Ciudad Lineal,Private room in rental unit,Private room,1.0,21.0,3.0,False,Room,5,0.96,0.53,0.84,0.01
6,Centro,Entire rental unit,Entire home/apt,2.0,235.0,3.0,False,Floor,5,0.99,0.73,0.57,0.01
7,Centro,Private room in rental unit,Private room,1.0,36.0,1.0,True,Room,4,0.66,0.45,0.91,0.0
8,Centro,Private room in rental unit,Private room,1.0,53.0,3.0,False,Room,1,0.17,0.43,0.85,0.01
9,Salamanca,Entire rental unit,Entire home/apt,1.0,155.0,12.9,False,Floor,4,0.78,0.83,0.4,0.04
10,Centro,Entire rental unit,Entire home/apt,2.0,65.0,4.0,True,Floor,4,0.71,0.51,0.93,0.01
11,Latina,Private room in rental unit,Private room,1.0,20.0,2.0,False,Room,5,0.86,0.45,0.89,0.01
12,Hortaleza,Private room in chalet,Private room,1.0,80.0,1.0,False,Room,4,0.77,0.47,0.9,0.0
13,Centro,Entire rental unit,Entire home/apt,1.0,73.0,3.0,False,Floor,5,0.85,0.46,0.93,0.01
14,Centro,Entire rental unit,Entire home/apt,2.0,193.0,2.4,False,Floor,4,0.75,0.42,0.92,0.01
15,Centro,Private room in rental unit,Private room,1.0,48.0,3.0,False,Room,2,0.33,0.93,0.92,0.01
16,Centro,Private room in rental unit,Private room,1.0,120.0,3.0,False,Room,3,0.59,0.37,0.87,0.01
17,Centro,Entire rental unit,Entire home/apt,2.0,180.0,3.0,False,Floor,2,0.25,0.8,0.96,0.01
18,Barajas,Entire home,Entire home/apt,2.0,98.0,1.0,False,House,5,0.96,0.81,0.58,0.0
19,Centro,Entire rental unit,Entire home/apt,2.0,133.0,2.0,True,House,4,0.71,0.47,0.71,0.01
20,Centro,Entire loft,Entire home/apt,1.0,214.0,30.0,False,Floor,5,0.85,0.3,0.8,0.08
21,Usera,Private room in condo,Private room,1.0,48.0,4.0,False,Room,3,0.44,0.45,0.87,0.01
22,Centro,Entire rental unit,Entire home/apt,2.0,158.0,1.0,False,House,5,0.9,0.31,0.53,0.0
23,Hortaleza,Private room in rental unit,Private room,1.0,75.0,2.0,False,Room,5,0.92,0.46,0.81,0.01
24,Centro,Private room in rental unit,Private room,3.0,40.0,1.0,True,Room,4,0.65,0.36,0.81,0.0
25,Centro,Entire rental unit,Entire home/apt,2.0,130.0,7.9,False,Floor,3,0.41,0.67,0.89,0.02
26,Centro,Private room in rental unit,Private room,3.0,99.0,2.9,False,Room,3,0.5,0.49,0.87,0.01
27,Hortaleza,Entire loft,Entire home/apt,4.0,281.0,2.6,False,Floor,1,0.15,0.68,0.81,0.01
28,Arganzuela,Entire condo,Entire home/apt,1.0,104.0,3.0,False,House,2,0.38,0.38,0.57,0.01
29,Centro,Entire rental unit,Entire home/apt,0.0,89.0,2.1,True,Floor,5,0.93,0.9,0.68,0.01
30,Centro,Entire loft,Entire home/apt,1.0,150.0,1.3,False,Floor,5,0.98,0.45,0.81,0.0
31,Hortaleza,Entire loft,Entire home/apt,2.0,139.0,2.0,True,Floor,5,0.97,0.53,0.99,0.01
32,Centro,Entire rental unit,Entire home/apt,1.0,138.0,5.0,False,House,3,0.45,0.35,0.53,0.01
33,Centro,Entire serviced apartment,Entire home/apt,1.0,142.0,12.5,False,Room,3,0.57,0.46,0.91,0.03
34,Centro,Entire rental unit,Entire home/apt,1.0,112.0,2.0,False,House,4,0.75,0.68,0.55,0.01
35,Centro,Private room in rental unit,Private room,1.0,187.0,2.3,False,Room,2,0.26,0.4,0.87,0.01
36,Centro,Entire rental unit,Entire home/apt,0.0,80.0,2.1,False,House,2,0.36,0.71,0.87,0.01
37,Centro,Entire rental unit,Entire home/apt,4.0,415.0,1.0,False,Floor,4,0.77,0.82,0.82,0.0
38,Centro,Private room in rental unit,Private room,1.0,41.0,3.0,False,Room,2,0.27,0.43,0.74,0.01
39,Centro,Entire rental unit,Entire home/apt,1.0,90.0,27.7,False,Floor,5,0.91,0.77,0.85,0.08
40,Centro,Entire condo,Entire home/apt,1.0,209.0,2.0,False,House,4,0.62,0.45,0.91,0.01
41,Retiro,Entire rental unit,Entire home/apt,2.0,117.0,2.0,False,House,5,0.92,0.65,0.88,0.01
42,Centro,Private room in rental unit,Private room,1.0,49.0,2.0,False,Room,4,0.66,0.78,0.92,0.01
43,Centro,Entire loft,Entire home/apt,1.0,65.0,7.0,False,Floor,4,0.76,0.79,0.62,0.02
44,Hortaleza,Entire home,Entire home/apt,4.0,122.0,3.0,False,House,5,0.84,0.67,0.96,0.01
45,Centro,Private room in rental unit,Private room,2.0,117.0,2.9,False,Room,5,0.87,0.45,0.89,0.01
46,Salamanca,Private room in rental unit,Private room,1.0,70.0,2.0,False,Room,3,0.41,0.45,0.97,0.01
47,Centro,Entire rental unit,Entire home/apt,1.0,82.0,2.0,True,Floor,4,0.62,0.55,0.93,0.01
48,Salamanca,Private room in rental unit,Private room,1.0,31.0,4.0,False,Room,4,0.7,0.76,0.89,0.01
49,Centro,Entire rental unit,Entire home/apt,0.0,104.0,3.0,True,Floor,3,0.5,0.54,0.89,0.01
50,Centro,Entire rental unit,Entire home/apt,1.0,158.0,1.0,True,House,2,0.23,0.78,0.59,0.0
51,ChamberÃ­,Entire condo,Entire home/apt,2.0,129.0,3.0,False,House,1,0.06,0.42,0.86,0.01
52,Centro,Entire rental unit,Entire home/apt,1.0,63.0,3.9,False,House,5,0.81,0.68,0.96,0.01
53,Centro,Entire rental unit,Entire home/apt,2.0,160.0,3.0,False,House,4,0.68,0.36,0.43,0.01
54,Puente de Vallecas,Entire rental unit,Entire home/apt,2.0,52.0,30.0,False,Floor,5,0.92,0.86,0.98,0.08
55,ChamberÃ­,Private room in rental unit,Private room,1.0,50.0,3.0,False,Room,4,0.69,0.92,0.91,0.01
56,Centro,Entire rental unit,Entire home/apt,2.0,146.0,4.1,False,House,4,0.77,0.38,0.88,0.01
57,Centro,Entire rental unit,Entire home/apt,1.0,111.0,3.0,True,Floor,4,0.73,0.9,0.99,0.01
58,Centro,Entire rental unit,Entire home/apt,1.0,84.0,5.0,False,House,2,0.26,0.62,0.91,0.01
59,Centro,Entire rental unit,Entire home/apt,1.0,121.0,3.0,True,Floor,3,0.56,0.76,0.89,0.01
60,Centro,Entire rental unit,Entire home/apt,1.0,141.0,3.0,True,Floor,5,0.9,0.38,0.9,0.01
61,Centro,Entire serviced apartment,Entire home/apt,2.0,100.0,3.0,False,Room,3,0.55,0.71,0.96,0.01
62,Centro,Entire rental unit,Entire home/apt,2.0,169.0,4.0,False,Floor,4,0.72,0.65,0.75,0.01
63,ChamberÃ­,Private room in home,Private room,1.0,46.0,3.0,False,Room,4,0.69,0.49,0.87,0.01
64,Arganzuela,Private room in rental unit,Private room,1.0,39.0,3.0,False,Room,4,0.69,0.4,0.99,0.01
65,Centro,Entire rental unit,Entire home/apt,1.0,136.0,1.6,False,House,4,0.61,0.42,0.84,0.0
66,Centro,Entire rental unit,Entire home/apt,1.0,106.0,3.0,True,Floor,4,0.7,0.4,0.49,0.01
67,Arganzuela,Private room in rental unit,Private room,1.0,34.0,5.0,False,Room,3,0.53,0.44,0.89,0.01
68,San Blas - Canillejas,Private room in rental unit,Private room,1.0,80.0,1.0,False,Room,1,0.19,0.67,0.91,0.0
